title,genres,director,overview,text_stopword,text_clean
Superman Returns,"['Adventure', 'Fantasy', 'Action']",Bryan Singer,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['superman', 'return', 'discover', '5year', 'absence', 'allow', 'lex', 'luthor', 'walk', 'free', 'close', 'felt', 'abandon', 'move', 'luthor', 'plot', 'ultimate', 'revenge', 'could', 'see', 'million', 'kill', 'change', 'face', 'planet', 'forever', 'well', 'rid', 'man', 'steel']",superman return discover 5year absence allow lex luthor walk free close felt abandon move luthor plot ultimate revenge could see million kill change face planet forever well rid man steel
Quantum of Solace,"['Adventure', 'Action', 'Thriller']",Marc Forster,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['quantum', 'solace', 'continue', 'adventure', 'james', 'bond', 'casino', 'royale', 'betray', 'vesper', 'woman', 'love', '007', 'fight', 'urge', 'make', 'late', 'mission', 'personal', 'pursue', 'determination', 'uncover', 'truth', 'bond', 'interrogate', 'mr', 'white', 'reveal', 'organization', 'blackmail', 'vesper', 'far', 'complex', 'dangerous', 'anyone', 'imagine']",quantum solace continue adventure james bond casino royale betray vesper woman love 007 fight urge make late mission personal pursue determination uncover truth bond interrogate white reveal organization blackmail vesper far complex dangerous anyone imagine
Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['captain', 'jack', 'sparrow', 'work', 'way', 'blood', 'debt', 'ghostly', 'davey', 'jones', 'also', 'attempt', 'avoid', 'eternal', 'damnation']",captain jack sparrow work way blood debt ghostly davey jones also attempt avoid eternal damnation
The Lone Ranger,"['Action', 'Adventure', 'Western']",Gore Verbinski,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['texas', 'rangers', 'chase', 'gang', 'outlaw', 'lead', 'butch', 'cavendish', 'gang', 'ambush', 'ranger', 'seemingly', 'kill', 'one', 'survivor', 'find', 'however', 'american', 'indian', 'name', 'tonto', 'nurse', 'back', 'health', 'ranger', 'mask', 'rid', 'white', 'stallion', 'name', 'silver', 'team', 'tonto', 'bring', 'unscrupulous', 'gang', 'others', 'ilk', 'justice']",texas rangers chase gang outlaw lead butch cavendish gang ambush ranger seemingly kill one survivor find however american indian name tonto nurse back health ranger mask rid white stallion name silver team tonto bring unscrupulous gang others ilk justice
Man of Steel,"['Action', 'Adventure', 'Fantasy']",Zack Snyder,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['young', 'boy', 'learn', 'extraordinary', 'power', 'earth', 'young', 'man', 'journey', 'discover', 'come', 'send', 'hero', 'must', 'emerge', 'save', 'world', 'annihilation', 'become', 'symbol', 'hope', 'mankind']",young boy learn extraordinary power earth young man journey discover come send hero must emerge save world annihilation become symbol hope mankind
The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']",Andrew Adamson,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['one', 'year', 'incredible', 'adventure', 'lion', 'witch', 'wardrobe', 'peter', 'edmund', 'lucy', 'susan', 'pevensie', 'return', 'narnia', 'aid', 'young', 'prince', 'whose', 'life', 'threaten', 'evil', 'king', 'miraz', 'help', 'colorful', 'cast', 'new', 'character', 'include', 'trufflehunter', 'badger', 'nikabrik', 'dwarf', 'pevensie', 'clan', 'embark', 'incredible', 'quest', 'ensure', 'narnia', 'return', 'rightful', 'heir']",one year incredible adventure lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince whose life threaten evil king miraz help colorful cast new character include trufflehunter badger nikabrik dwarf pevensie clan embark incredible quest ensure narnia return rightful heir
The Avengers,"['Science Fiction', 'Action', 'Adventure']",Joss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['unexpected', 'enemy', 'emerges', 'threaten', 'global', 'safety', 'security', 'nick', 'fury', 'director', 'international', 'peacekeeping', 'agency', 'know', 'shield', 'find', 'need', 'team', 'pull', 'world', 'back', 'brink', 'disaster', 'span', 'globe', 'daring', 'recruitment', 'effort', 'begin']",unexpected enemy emerges threaten global safety security nick fury director international peacekeeping agency know shield find need team pull world back brink disaster span globe daring recruitment effort begin
Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']",Rob Marshall,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['captain', 'jack', 'sparrow', 'cross', 'path', 'woman', 'past', 'hes', 'sure', 'love', 'shes', 'ruthless', 'con', 'artist', 'whos', 'use', 'find', 'fabled', 'fountain', 'youth', 'force', 'aboard', 'queen', 'anne', 'revenge', 'ship', 'formidable', 'pirate', 'blackbeard', 'jack', 'find', 'unexpected', 'adventure', 'doesnt', 'know', 'fear', 'blackbeard', 'woman', 'past']",captain jack sparrow cross path woman past hes sure love shes ruthless con artist whos use find fabled fountain youth force aboard queen anne revenge ship formidable pirate blackbeard jack find unexpected adventure doesnt know fear blackbeard woman past
Men in Black 3,"['Action', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","['agent', 'j', 'smith', 'k', 'tommy', 'lee', 'jones', 'backin', 'time', 'j', 'see', 'inexplicable', 'thing', '15', 'year', 'men', 'black', 'nothing', 'even', 'alien', 'perplexes', 'much', 'wry', 'reticent', 'partner', 'ks', 'life', 'fate', 'planet', 'put', 'stake', 'agent', 'j', 'travel', 'back', 'time', 'put', 'thing', 'right', 'j', 'discovers', 'secret', 'universe', 'k', 'never', 'tell', 'secret', 'reveal', 'team', 'young', 'agent', 'k', 'josh', 'brolin', 'save', 'partner', 'agency', 'future', 'humankind']",agent smith tommy lee jones backin time see inexplicable thing year men black nothing even alien perplexes much wry reticent partner life fate planet put stake agent travel back time put thing right discovers secret universe never tell secret reveal team young agent josh brolin save partner agency future humankind
The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']",Peter Jackson,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","['immediately', 'event', 'desolation', 'smaug', 'bilbo', 'dwarf', 'try', 'defend', 'erebors', 'mountain', 'treasure', 'others', 'claim', 'men', 'ruin', 'laketown', 'elf', 'mirkwood', 'meanwhile', 'army', 'orcs', 'lead', 'azog', 'defiler', 'march', 'erebor', 'fuel', 'rise', 'dark', 'lord', 'sauron', 'dwarves', 'elf', 'men', 'must', 'unite', 'hope', 'middleearth', 'fall', 'bilbos', 'hand']",immediately event desolation smaug bilbo dwarf try defend erebors mountain treasure others claim men ruin laketown elf mirkwood meanwhile army orcs lead azog defiler march erebor fuel rise dark lord sauron dwarves elf men must unite hope middleearth fall bilbos hand
The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']",Marc Webb,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['peter', 'parker', 'outcast', 'high', 'schooler', 'abandon', 'parent', 'boy', 'leave', 'raise', 'uncle', 'ben', 'aunt', 'may', 'like', 'teenager', 'peter', 'try', 'figure', 'get', 'person', 'today', 'peter', 'discover', 'mysterious', 'briefcase', 'belong', 'father', 'begin', 'quest', 'understand', 'parent', 'disappearance', 'lead', 'directly', 'oscorp', 'lab', 'dr', 'curt', 'connors', 'father', 'former', 'partner', 'spiderman', 'set', 'collision', 'course', 'connors', 'alter', 'ego', 'lizard', 'peter', 'make', 'lifealtering', 'choice', 'use', 'power', 'shape', 'destiny', 'become', 'hero']",peter parker outcast high schooler abandon parent boy leave raise uncle ben aunt may like teenager peter try figure get person today peter discover mysterious briefcase belong father begin quest understand parent disappearance lead directly oscorp lab curt connors father former partner spiderman set collision course connors alter ego lizard peter make lifealtering choice use power shape destiny become hero
Robin Hood,"['Action', 'Adventure']",Ridley Scott,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","['soldier', 'robin', 'happen', 'upon', 'die', 'robert', 'loxley', 'promise', 'return', 'man', 'sword', 'family', 'nottingham', 'assume', 'robert', 'identity', 'romance', 'widow', 'marion', 'draw', 'ire', 'town', 'sheriff', 'king', 'john', 'henchman', 'godfrey']",soldier robin happen upon die robert loxley promise return man sword family nottingham assume robert identity romance widow marion draw ire town sheriff king john henchman godfrey
The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']",Peter Jackson,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","['dwarf', 'bilbo', 'gandalf', 'successfully', 'escape', 'misty', 'mountain', 'bilbo', 'gain', 'one', 'ring', 'continue', 'journey', 'get', 'gold', 'back', 'dragon', 'smaug']",dwarf bilbo gandalf successfully escape misty mountain bilbo gain one ring continue journey get gold back dragon smaug
The Golden Compass,"['Adventure', 'Fantasy']",Chris Weitz,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['overhear', 'shocking', 'secret', 'precocious', 'orphan', 'lyra', 'belacqua', 'trade', 'carefree', 'existence', 'roam', 'hall', 'jordan', 'college', 'otherworldly', 'adventure', 'far', 'north', 'unaware', 'part', 'destiny']",overhear shocking secret precocious orphan lyra belacqua trade carefree existence roam hall jordan college otherworldly adventure far north unaware part destiny
King Kong,"['Adventure', 'Drama', 'Action']",Peter Jackson,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['1933', 'new', 'york', 'overly', 'ambitious', 'movie', 'producer', 'coerce', 'cast', 'hire', 'ship', 'crew', 'travel', 'mysterious', 'skull', 'island', 'encounter', 'kong', 'giant', 'ape', 'immediately', 'smite', 'lead', 'lady']",1933 new york overly ambitious movie producer coerce cast hire ship crew travel mysterious skull island encounter kong giant ape immediately smite lead lady
Titanic,"['Drama', 'Romance', 'Thriller']",James Cameron,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","['84', 'year', 'late', '101yearold', 'woman', 'name', 'rise', 'dewitt', 'bukater', 'tell', 'story', 'granddaughter', 'lizzy', 'calvert', 'brock', 'lovett', 'lewis', 'bodine', 'bobby', 'buell', 'anatoly', 'mikailavich', 'keldysh', 'life', 'set', 'april', '10th', '1912', 'ship', 'call', 'titanic', 'young', 'rise', 'board', 'depart', 'ship', 'upperclass', 'passenger', 'mother', 'ruth', 'dewitt', 'bukater', 'fiancé', 'caledon', 'hockley', 'meanwhile', 'drifter', 'artist', 'name', 'jack', 'dawson', 'best', 'friend', 'fabrizio', 'de', 'rossi', 'win', 'thirdclass', 'ticket', 'ship', 'game', 'explain', 'whole', 'story', 'departure', 'death', 'titanic', 'first', 'last', 'voyage', 'april', '15th', '1912', '220', 'morning']",year late 101yearold woman name rise dewitt bukater tell story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april 10th 1912 ship call titanic young rise board depart ship upperclass passenger mother ruth dewitt bukater fiancé caledon hockley meanwhile drifter artist name jack dawson best friend fabrizio rossi win thirdclass ticket ship game explain whole story departure death titanic first last voyage april 15th 1912 220 morning
Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']",Anthony Russo,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['follow', 'event', 'age', 'ultron', 'collective', 'government', 'world', 'pas', 'act', 'design', 'regulate', 'superhuman', 'activity', 'polarize', 'opinion', 'amongst', 'avenger', 'cause', 'two', 'faction', 'side', 'iron', 'man', 'captain', 'america', 'cause', 'epic', 'battle', 'former', 'ally']",follow event age ultron collective government world pas act design regulate superhuman activity polarize opinion amongst avenger cause two faction side iron man captain america cause epic battle former ally
Battleship,"['Thriller', 'Action', 'Adventure']",Peter Berg,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","['mankind', 'beam', 'radio', 'signal', 'space', 'reply', 'come', 'planet', 'g', 'form', 'several', 'alien', 'craft', 'splash', 'water', 'hawaii', 'lieutenant', 'alex', 'hopper', 'weapon', 'officer', 'assign', 'uss', 'john', 'paul', 'jones', 'part', 'international', 'naval', 'coalition', 'become', 'world', 'last', 'hope', 'survival', 'engage', 'hostile', 'alien', 'force', 'unimaginable', 'strength', 'take', 'invader', 'hopper', 'must', 'also', 'try', 'live', 'potential', 'brother', 'fiancées', 'father', 'admiral', 'shane', 'expect']",mankind beam radio signal space reply come planet form several alien craft splash water hawaii lieutenant alex hopper weapon officer assign uss john paul jones part international naval coalition become world last hope survival engage hostile alien force unimaginable strength take invader hopper must also try live potential brother fiancées father admiral shane expect
Jurassic World,"['Action', 'Adventure', 'Science Fiction']",Colin Trevorrow,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['twentytwo', 'year', 'event', 'jurassic', 'park', 'isla', 'nublar', 'feature', 'fully', 'function', 'dinosaur', 'theme', 'park', 'jurassic', 'world', 'originally', 'envision', 'john', 'hammond']",twentytwo year event jurassic park isla nublar feature fully function dinosaur theme park jurassic world originally envision john hammond
Skyfall,"['Action', 'Adventure', 'Thriller']",Sam Mendes,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['bond', 'late', 'assignment', 'go', 'gravely', 'wrong', 'agent', 'around', 'world', 'expose', 'mi6', 'attack', 'force', 'relocate', 'agency', 'event', 'cause', 'authority', 'position', 'challenge', 'gareth', 'mallory', 'new', 'chairman', 'intelligence', 'security', 'committee', 'mi6', 'compromise', 'inside', 'leave', 'one', 'ally', 'trust', 'bond', '007', 'take', 'shadow', 'aid', 'field', 'agent', 'eve', 'follow', 'trail', 'mysterious', 'silva', 'whose', 'lethal', 'hidden', 'motif', 'yet', 'reveal']",bond late assignment gravely wrong agent around world expose mi6 attack force relocate agency event cause authority position challenge gareth mallory new chairman intelligence security committee mi6 compromise inside leave one ally trust bond 007 take shadow aid field agent eve follow trail mysterious silva whose lethal hidden motif yet reveal
Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",Sam Raimi,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","['peter', 'parker', 'go', 'major', 'identity', 'crisis', 'burn', 'spiderman', 'decide', 'shelve', 'superhero', 'alter', 'ego', 'leave', 'city', 'suffering', 'wake', 'carnage', 'leave', 'evil', 'doc', 'ock', 'meantime', 'parker', 'still', 'cant', 'act', 'feeling', 'mary', 'jane', 'watson', 'girl', 'hes', 'love', 'since', 'childhood']",peter parker major identity crisis burn spiderman decide shelve superhero alter ego leave city suffering wake carnage leave evil doc ock meantime parker still cant act feeling mary jane watson girl hes love since childhood
Iron Man 3,"['Action', 'Adventure', 'Science Fiction']",Shane Black,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['tony', 'starks', 'world', 'torn', 'apart', 'formidable', 'terrorist', 'call', 'mandarin', 'start', 'odyssey', 'rebuild', 'retribution']",tony starks world torn apart formidable terrorist call mandarin start odyssey rebuild retribution
Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",Tim Burton,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['alice', 'unpretentious', 'individual', '19yearold', 'betroth', 'dunce', 'english', 'nobleman', 'engagement', 'party', 'escape', 'crowd', 'consider', 'whether', 'go', 'marriage', 'fall', 'hole', 'garden', 'spot', 'unusual', 'rabbit', 'arrive', 'strange', 'surreal', 'place', 'call', 'underland', 'find', 'world', 'resemble', 'nightmare', 'child', 'fill', 'talk', 'animal', 'villainous', 'queen', 'knight', 'frumious', 'bandersnatches', 'alice', 'realize', 'reason', 'conquer', 'horrific', 'jabberwocky', 'restore', 'rightful', 'queen', 'throne']",alice unpretentious individual 19yearold betroth dunce english nobleman engagement party escape crowd consider whether marriage fall hole garden spot unusual rabbit arrive strange surreal place call underland find world resemble nightmare child fill talk animal villainous queen knight frumious bandersnatches alice realize reason conquer horrific jabberwocky restore rightful queen throne
